0,소속,국회,,직위,국회의장,성명,강창희,
1,(단위 : 천원),,,,,,,
2,본인과의 관계,재산의 종류,소재지 면적 등 권리의 명세,,가  액 (실거래액),비 고,,
3,▶ 건물(소계),,,,"1,264,259",,,
4,본인,아파트,서울특별시 서초구 방배동 방배현대1차아파트 건물 114.78㎡ 중 57.39㎡,,"366,000",,,
5,배우자,아파트,서울특별시 서초구 방배동 방배현대1차아파트 건물 114.78㎡ 중 57.39㎡,,"366,000",,,
6,배우자,아파트,대전광역시 중구 목동 목양마을아파트 건물 117.46㎡,,"209,000",,,
7,배우자,빌딩,"대전광역시 서구 월평2동 선사병원 대지 728.00㎡ 중 72.00㎡ 건물148.50㎡",,"323,259",영업,,
8,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),,,,"38,010",,,
9,본인,자동차,"2008년식 그랜져 배기량(3,342cc)",,"20,830",,,
10,배우자,자동차,"2008년식 그랜져 배기량(2,656cc)",,"17,180",,,
11,▶ 예금(소계),,,,"1,095,508",,,
12,본인,,"삼성생명보험 60,000, 농협은행 60,000, 삼성화재해상보험 22,778",,"142,778",,,
13,배우자,,"하나은행 392,960, 우체국 62,455, 삼성생명보험 440,950, 농협은행56,365",,"952,730",,,
14,▶ 유가증권(소계),,,,"15,917",,,
15,배우자,상장주식,"하나금융지주 130주, 삼성카드 30주, KB금융 193주",,"12,905",,,
16,배우자,공채,"국민주택1종10-02 2,860,000좌",,"3,012",,,
17,▶ 채무(소계),,,,"299,500",,,
18,배우자,,사인간채무,,"50,000",,,
19,배우자,금융기관채무,"하나은행 249,500",,"249,500",,,
20,▶ 회원권(소계),,,,"80,550",,,
21,본인,콘도미니엄,"켄싱턴리조트(구,한국콘도)",,"6,800",,,
22,배우자,헬스,매리어트호텔마르퀴스휘트니스,,"54,750",,,
23,배우자,콘도미니엄,한화리조트,,"19,000",,,
24,▶ 고지거부 및 등록제외사항(소계),,,,0,,,
25,장남,,고지거부,,-,독립생계유지,,
26,손자1,,고지거부,,-,독립생계유지,,
27,손자2,,고지거부,,-,독립생계유지,,
28,손자3,,고지거부,,-,독립생계유지,,
29,총  계,,,,"2,194,744",,,
30,소속,국회,,직위,국회의원,성명,강기윤,
31,(단위 : 천원),,,,,,,
32,본인과의 관계,재산의 종류,소재지 면적 등 권리의 명세,,가  액 (실거래액),비 고,,
33,▶ 토지(소계),,,,"1,385,953",,,
34,본인,대지,경상남도 창원시 사파동 62-7번지 312.70㎡,,"198,564",,,
35,본인,전,경상남도 창원시 사파정동 12-1번지 112.00㎡,,"16,240",,,
36,본인,과수원,"경상남도 창원시 사파정동 152번지 7,036.00㎡",,"561,472",,,
37,배우자,전,"경상남도 창원시 사파정동 140-3번지 1,445.00㎡",,"222,530",,,
38,배우자,전,경상남도 창원시 사파정동 141번지 185.00㎡,,"28,490",,,
39,배우자,전,경상남도 창원시 사파정동 246-11번지 350.00㎡,,"58,100",,,
40,배우자,임야,"경상남도 창원시 사파정동 산 78번지 6,248.00㎡",,"22,867",,,
41,배우자,과수원,"경상남도 창원시 사파정동 24-1번지 3,691.00㎡",,"233,271",,,
42,배우자,임야,"경상남도 창원시 사파정동 산 82-7번지 8,186.00㎡",,"39,947",,,
43,배우자,임야,경상남도 창원시 사파정동 산 82-8번지 726.00㎡,,"4,472",,,
44,▶ 건물(소계),,,,"3,094,515",,,
45,본인,"아파트전세(임차)권",경상남도 창원시 사파동 동성아파트 건물 133.56㎡,,"100,000",,,
46,본인,연립주택,경상남도 창원시 성주동 건물 196.36㎡,,"446,000",,,
47,본인,상가,경상남도 창원시 대방동 골든프라자 대지 26.50㎡ 건물 82.50㎡,,"122,543",,,
48,배우자,공장,"경상남도 창원시 팔용동 대지 2,532.70㎡ 건물 1,977.00㎡",,"2,075,972",,,
49,배우자,"아파트전세(임차)권",서울특별시 종로구 명륜2가 아남아파트 건물 124.03㎡,,"350,000",,,
50,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),,,,"274,193",,,
51,배우자,자동차,"2008년식 제니시스 배기량(3,300cc)",,"14,622",,,
52,배우자,기타,"금오엔지니어링 기계장치, 차량운반구, 공구와 기구 비품, 시설장치 등",,"259,571",,,
53,▶ 예금(소계),,,,"353,296",,,
54,본인,,"중소기업은행 2,541, 우리은행 163, 농협은행 788, 대한생명보험25,815, 경남은행 48,818",,"78,125",,,
